Index;Dép.;Commune;Libellé de la commune;Revenu fiscal de référence par tranche (en euros);Nombre de foyers fiscaux;Revenu fiscal de référence des foyers fiscaux;Impôt net (total)*;Nombre de foyers fiscaux imposés;Revenu fiscal de référence des foyers fiscaux imposés;Traitements et salaires : Nombre de foyers concernés;Traitements et salaires : Montant;Retraites et pensions : Nombre de foyers concernés;Retraites et pensions :Montant
0;922;2;Antony;0 à 10 000;5007;18765.611;-118.186;376;1692.962;2287;13714.648;985;7899.593
1;922;2;Antony;10 001 à 12 000;988;10892.822;-85.364;77;854.984;638;7330.074;344;4694.528
2;922;2;Antony;12 001 à 15 000;1586;21618.272;-59.781;139;1909.639;1233;18160.2;369;5771.733
3;922;2;Antony;15 001 à 20 000;3678;64373.852;850.72;2353;41451.418;2692;50072.424;1084;20689.649
4;922;2;Antony;20 001 à 30 000;6202;153271.296;7845.854;4914;121909.982;4636;122843.008;1781;44467.995
5;922;2;Antony;30 001 à 50 000;7097;274498.654;21480.86;6297;245006.593;5048;200932.88;2492;89388.879
6;922;2;Antony;50 001 à 100 000;7325;513966.608;55007.968;7122;501007.008;5723;402856.998;2282;122901.114
7;922;2;Antony;+ de 100 000;2877;497653.925;90418.277;2854;494411.232;2573;352568.007;621;41232.243
8;922;2;Antony;Total;34760;1555041.04;175340.348;24132;1408243.818;24830;1168478.239;9958;337045.734
9;921;4;Asnières-sur-Seine;0 à 10 000;10264;36634.296;-178.069;483;2201.151;4634;27994.714;2075;17237.037
10;921;4;Asnières-sur-Seine;10 001 à 12 000;1859;20450.231;-53.122;125;1371.863;1337;15705.509;541;7509
11;921;4;Asnières-sur-Seine;12 001 à 15 000;3059;41510.01;-92.017;215;2929.504;2437;35703.544;663;10218.825
12;921;4;Asnières-sur-Seine;15 001 à 20 000;6102;106589.38;1488.753;3684;64968.015;4676;88115.886;1614;30373.081
13;921;4;Asnières-sur-Seine;20 001 à 30 000;10129;249777.924;13129.733;7815;193663.955;8408;223131.43;2089;49211.867
14;921;4;Asnières-sur-Seine;30 001 à 50 000;10277;392311.451;34508.997;9187;352519.118;8625;345912.05;2154;71161.375
